From Timestamp,E_PV_Res,E_PV_Oth
14-05-2017 21:20,246293.40000000002,1454485.2400000002
14-05-2017 21:25,246293.40000000002,1454485.2400000002
14-05-2017 21:30,246293.40000000002,1454485.2400000002
14-05-2017 21:35,246293.40000000002,1454485.2400000002
14-05-2017 21:40,246293.40000000002,1454485.2400000002
14-05-2017 21:45,246293.40000000002,1454485.2400000002
14-05-2017 21:50,246293.40000000002,1454485.2400000002
14-05-2017 21:55,246293.40000000002,1454485.2400000002
14-05-2017 22:00,246293.40000000002,1454485.2400000002
14-05-2017 22:05,246293.40000000002,1454485.2400000002
14-05-2017 22:10,246293.40000000002,1454485.2400000002
14-05-2017 22:15,246293.40000000002,1454485.2400000002
14-05-2017 22:20,246293.40000000002,1454485.2400000002
14-05-2017 22:25,246293.40000000002,1454485.2400000002
14-05-2017 22:30,246293.40000000002,1454485.2400000002
14-05-2017 22:35,246293.40000000002,1454485.2400000002
14-05-2017 22:40,246293.40000000002,1454485.2400000002
14-05-2017 22:45,246293.40000000002,1454485.2400000002
14-05-2017 22:50,246293.40000000002,1454485.2400000002
14-05-2017 22:55,246293.40000000002,1454485.2400000002
14-05-2017 23:00,246293.40000000002,1454485.2400000002
14-05-2017 23:05,246293.40000000002,1454485.2400000002
14-05-2017 23:10,246293.40000000002,1454485.2400000002
14-05-2017 23:15,246293.40000000002,1454485.2400000002
14-05-2017 23:20,246293.40000000002,1454485.2400000002
14-05-2017 23:25,246293.40000000002,1454485.2400000002
14-05-2017 23:30,246293.40000000002,1454485.2400000002
14-05-2017 23:35,246293.40000000002,1454485.2400000002
14-05-2017 23:40,246293.40000000002,1454485.2400000002
14-05-2017 23:45,246293.40000000002,1454485.2400000002
14-05-2017 23:50,246293.40000000002,1454485.2400000002
