From Timestamp,E_PV_N1,E_PV_N3,E_PV_N4,E_PV_S1,E_PV_S2,E_PV_S3,E_PV_Oth
14-05-2017 09:30,341954.30999999994,341001.24,311206.35,318212.25,326136.2,283237.39,768246.9700000001
14-05-2017 09:35,341955.65,341003.24,311208.42,318213.8,326137.80999999994,283237.39,768250.83
14-05-2017 09:40,341957.95000000007,341006.0,311211.27999999997,318215.93,326140.21,283237.39,768256.4000000001
14-05-2017 09:45,341962.85,341011.93000000005,311217.44999999995,318221.41,326146.67000000004,283237.39,768269.8300000002
14-05-2017 09:50,341967.75,341017.80999999994,311223.20999999996,318224.97,326149.79000000004,283237.39,768281.8299999998
14-05-2017 09:55,341970.94,341021.52,311226.79000000004,318227.85,326152.93999999994,283237.39,768289.6599999999
14-05-2017 10:00,341973.92000000004,341024.97000000003,311230.43,318232.25000000006,326157.69999999995,283237.39,768297.0999999997
14-05-2017 10:05,341975.44,341026.50999999995,311232.08,318233.81,326159.36000000004,283237.39,768300.6600000001
14-05-2017 10:10,341976.95,341028.0399999999,311233.68,318235.35000000003,326161.01,283237.39,768304.1599999999
14-05-2017 10:15,341983.01,341033.25,311239.26,318240.93,326167.0,283237.39,768317.45
14-05-2017 10:20,341992.14,341042.02,311248.41000000003,318249.68000000005,326175.99000000005,283237.39,768338.41
14-05-2017 10:25,342000.41000000003,341050.47,311257.22,318257.0,326184.09,283237.39,768357.8600000001
14-05-2017 10:30,342005.7,341057.06999999995,311263.79000000004,318262.08,326189.85,283237.39,768371.35
14-05-2017 10:35,342012.82,341064.26999999996,311271.36,318269.16,326197.60000000003,283237.39,768388.04
14-05-2017 10:40,342020.59,341071.86,311279.25,318276.55000000005,326205.19,283237.39,768405.71
14-05-2017 10:45,342029.04000000004,341080.08,311287.63,318284.29000000004,326213.13,283237.39,768425.11
14-05-2017 10:50,342037.78,341088.9,311296.87,318292.33999999997,326221.53,283237.39,768445.76
14-05-2017 10:55,342042.88,341093.89,311301.67000000004,318296.52,326225.56999999995,283237.39,768457.1900000001
14-05-2017 11:00,342046.84,341098.51,311305.79000000004,318299.47,326228.96,283237.39,768465.9
14-05-2017 11:05,342049.48,341101.75,311309.23000000004,318301.87000000005,326231.6,283237.39,768472.3400000001
14-05-2017 11:10,342052.11,341105.57,311313.11,318304.32,326234.49,283237.39,768480.01
14-05-2017 11:15,342055.11,341108.71,311316.25,318306.84,326237.11,283237.39,768486.8499999999
14-05-2017 11:20,342058.52999999997,341112.66,311320.03,318310.04,326240.39,283237.39,768495.1099999999
14-05-2017 11:25,342061.94,341116.18,311323.73000000004,318313.73,326245.02,283237.39,768503.4400000002
14-05-2017 11:30,342066.80000000005,341123.2,311330.66000000003,318318.04000000004,326250.31999999995,283237.39,768516.3900000001
14-05-2017 11:35,342071.20999999996,341127.87999999995,311335.39999999997,318322.54000000004,326254.69,283237.39,768526.1900000001
14-05-2017 11:40,342075.15,341132.85,311340.41,318325.76,326257.94999999995,283237.39,768536.0400000002
